Address,Area(In Sq.Feet),Road,Price(Float),Bedroom,Bathroom,Face,Floors,City
Imadol,752.95,10.0,19000000,4,2.0,South,2.5,Lalitpur
Goldhunga,1540.125,10.0,29900000,8,4.0,West,3.5,Kathmandu
Jorpati,1026.75,10.0,16500000,9,3.0,South West,3.0,Kathmandu
Sanepa,1711.25,10.0,45000000,5,4.0,South East,2.5,Lalitpur
Gongabu,1711.25,10.0,37000000,4,2.0,West,2.0,Kathmandu
Baluwatar,2738.0,10.0,55000000,4,3.0,South,2.5,Kathmandu
Kapan,1026.75,10.0,12500000,3,3.0,North,3.0,Kathmandu
Nakkhu,1403.225,10.0,36000000,5,3.0,North East,3.0,Lalitpur
Dhumbarahi,2429.975,10.0,57000000,8,8.0,East,3.5,Kathmandu
Dhapasi,2053.5,10.0,32500000,5,1.0,East,2.5,Kathmandu
Sipadol,1197.875,10.0,19000000,7,3.0,East,3.0,Bhaktapur
Ratomate,941.1875,10.0,13000000,4,3.0,West,2.5,Kathmandu
Tikathali,1369.0,10.0,35000000,6,5.0,North East,3.0,Lalitpur
Chandragiri,1711.25,10.0,22000000,6,3.0,East,3.0,Kathmandu
Sitapaila,1095.2,10.0,14500000,3,3.0,East,2.5,Kathmandu
Tarkeshwor,1026.75,10.0,17000000,5,2.0,East,2.0,Kathmandu
Samakhusi Chowk,1711.25,10.0,45000000,7,4.0,East,2.5,Kathmandu
Suryabinayak,1026.75,10.0,20200000,7,4.0,East,3.0,Bhaktapur
Thecho,1369.0,10.0,26000000,4,3.0,South,2.5,Lalitpur
Manamaiju,1069.53,10.0,16000000,5,2.0,East,2.5,Kathmandu
Kalanki,1026.75,10.0,23000000,5,3.0,South,2.5,Kathmandu
Syuchatar,1026.75,10.0,23000000,4,2.0,North West,3.0,Kathmandu
Basundhara,1369.0,10.0,30000000,4,4.0,South,3.0,Kathmandu
mulpani,1000.0,10.0,16000000,4,3.0,East,3.5,Kathmandu
Mulpani,1369.0,10.0,24500000,6,3.0,East,2.5,Kathmandu
Mulpani 7,1369.0,10.0,20000000,6,3.0,North,2.5,Kathmandu
TIkathali,1133.703125,10.0,15000000,5,2.0,East,2.5,Lalitpur
Sitapaila,1711.25,10.0,29000000,4,4.0,West,2.5,Kathmandu
Thasikhel,1882.375,10.0,23500000,6,5.0,East,2.5,Lalitpur
Sitapaila,1500.0,10.0,35500000,6,4.0,East,2.5,Kathmandu
Purano Naikap,1711.25,10.0,30000000,5,4.0,West,2.5,Kathmandu
Koteshwor,1026.75,10.0,41500000,1,4.0,East,3.5,Kathmandu
Baluwakhani,1095.2,10.0,27500000,6,4.0,West,2.5,Kathmandu
Naya Basti,1095.2,10.0,26000000,5,2.0,North,2.5,Kathmandu
Khumaltar,1326.21875,10.0,23000000,4,4.0,North East,3.5,Lalitpur
Koteshwor,2738.0,10.0,48000000,5,4.0,East,3.5,Kathmandu
Makalbari,1369.0,10.0,28000000,5,4.0,South,2.5,Kathmandu
Ramkot,1129.425,10.0,23000000,5,4.0,North West,2.5,Kathmandu
Chandragiri,1369.0,10.0,16000000,2,2.0,South East,2.0,Kathmandu
Kharibot,1026.75,10.0,30000000,6,4.0,North West,3.5,Lalitpur
Makalbari,1197.875,10.0,16000000,3,3.0,East,2.5,Kathmandu
Maharajgunj,2738.0,10.0,48000000,7,5.0,South,2.5,Kathmandu
"Sanep, Jhamsikhel",1026.75,10.0,41000000,6,5.0,South east,2.5,Lalitpur
Tikathali,855.625,10.0,18500000,3,3.0,North East,3.0,Lalitpur
Baniyatar,1711.25,10.0,28500000,6,3.0,South East,3.5,Kathmandu
on the way to cable car,1711.25,10.0,26500000,6,3.0,West,2.5,Kathmandu
pabitra basti,900.0,10.0,25000000,5,3.0,East,2.5,Kathmandu
Panchakanya Marga Kapan near Nabil Bank,1625.68,10.0,26000000,2,2.0,North,2.0,Kathmandu
Panga,1026.75,10.0,13500000,4,3.0,South,3.5,Kathmandu
PepsiCola,1197.875,10.0,22000000,6,4.0,East,3.0,Kathmandu
"Sudal, Changunarayan",1090.92,10.0,21000000,8,3.0,East,3.5,Bhaktapur
Subarnachowk,1500.0,10.0,29500000,8,3.0,South,3.0,Bhaktapur
Thali milan chowk,900.0,10.0,9100000,3,2.0,West,2.0,Kathmandu
Syuchatar,1925.15,10.0,25500000,4,2.0,West,2.5,Kathmandu
Thankot,1711.25,10.0,22000000,6,3.0,West,2.5,Kathmandu
Maharajgunj,2738.0,10.0,48000000,7,6.0,South,3.0,Kathmandu
Gongabu Chowk,1711.25,10.0,37000000,4,2.0,West,2.0,Kathmandu
Sitapaila,2053.5,10.0,29000000,6,4.0,East,3.0,Kathmandu
Greenland Chowk,3080.25,10.0,45000000,7,4.0,East,2.5,Kathmandu
"Bhotebahal,Teku",577.546875,10.0,36500000,8,3.0,West,3.5,Kathmandu
"bhetghat chowk bansbari , dhapasi marga",2395.75,10.0,50000000,4,4.0,South,2.5,Kathmandu
Raniban,1540.125,10.0,23500000,5,3.0,West,2.5,Kathmandu
Tikathali,1026.75,10.0,16500000,6,3.0,South,3.0,Lalitpur
Dhumbarahi,2429.975,10.0,56000000,7,6.0,South,3.5,Kathmandu
Sipadol,1197.875,10.0,19500000,6,3.0,East,3.0,Bhaktapur
Jorpati,1095.2,10.0,23000000,5,3.0,South,2.5,Kathmandu
Naikap,1060.975,10.0,20000000,4,2.0,North,2.5,Kathmandu
Goldhunga,1369.0,10.0,19500000,4,5.0,North East,2.5,Kathmandu
Bansbari,2053.5,10.0,36000000,6,5.0,South east,3.0,Kathmandu
Bansbari,1390.39,10.0,29000000,6,4.0,West,2.5,Kathmandu
Kapan,1369.0,10.0,29000000,1,1.0,South east,3.0,Kathmandu
Balambu,727.28,10.0,11000000,4,3.0,East,2.0,Kathmandu
Sovahity,1026.75,10.0,20000000,4,3.0,South,2.5,Lalitpur
Banasthali,1026.75,10.0,29500000,4,3.0,East,2.5,Kathmandu
Gurjudhara,1540.12,10.0,18500000,4,3.0,East,3.0,Kathmandu
Balkot,2053.5,10.0,42500000,4,4.0,South,3.5,Bhaktapur
Bafal,1026.75,10.0,23000000,6,2.0,South,2.0,Kathmandu
Goldhunga,1711.475,10.0,29900000,8,4.0,West,3.5,Kathmandu
Joranku,1197.875,10.0,15000000,3,3.0,South,3.0,Kathmandu
Gongabu,1060.975,10.0,37500000,8,3.0,West,3.5,Kathmandu
Balkhu,3080.25,10.0,49500000,7,7.0,South,3.0,Kathmandu
Mulpani,1026.75,10.0,16500000,5,3.0,North,3.0,Kathmandu
Narayanthan,1711.25,10.0,27500000,5,5.0,East,3.5,Kathmandu
Mahadevsthan,1711.25,10.0,22000000,6,3.0,South,2.5,Kathmandu
Tahachal,1540.125,10.0,39500000,1,1.0,East,3.0,Kathmandu
Nayabasti,1711.25,10.0,23500000,1,1.0,South,2.0,Kathmandu
Gothatar,1026.75,10.0,21000000,5,3.0,South,2.5,Kathmandu
Syuchatar,1540.125,10.0,30000000,1,5.0,East,3.5,Kathmandu
Goldhunga,1026.75,10.0,16500000,6,3.0,South East,2.5,Kathmandu
Jorpati,1369.0,10.0,23000000,7,4.0,East,3.0,Kathmandu
Chunikhel,1026.75,10.0,25000000,7,3.0,South,3.5,Kathmandu
Naya Basti,1711.25,10.0,28000000,7,5.0,East,3.0,Kathmandu
Baniyatar,1112.3125,10.0,16500000,6,3.0,South,3.0,Kathmandu
Pepsicola,1026.75,10.0,26000000,8,4.0,North,3.5,Kathmandu
Lazimpat,752.95,10.0,22500000,4,2.0,South,2.5,Kathmandu
Gurjudhara,2053.5,10.0,29000000,5,3.0,South East,2.5,Kathmandu
Thapathali,2181.84375,10.0,9000000,6,3.0,East,3.0,Kathmandu
Tokha,1369.0,10.0,26000000,6,3.0,North East,2.5,Kathmandu
Bansbari,2053.5,10.0,36000000,6,6.0,South East,3.0,Kathmandu
Baneshwor,2738.0,10.0,47500000,5,4.0,West,2.5,Kathmandu
Ichangu Narayan,1304.82,10.0,31000000,5,4.0,North,2.5,Kathmandu
Chandragiri,1095.2,10.0,17000000,6,3.0,South East,2.5,Kathmandu
Chunikhel,752.95,10.0,19500000,4,3.0,South West,2.5,Kathmandu
Tyanglafat,1026.75,10.0,24500000,7,4.0,North East,2.5,Kathmandu
Kageshwori Manohara,705.890625,10.0,12500000,4,3.0,East,3.0,Kathmandu
Satdobato,1625.6875,10.0,32500000,5,4.0,South East,3.0,Lalitpur
Syuchatar,1369.0,10.0,37000000,6,4.0,North,3.0,Kathmandu
Mahadevtar,1369.0,10.0,24000000,5,3.0,North,2.5,Kathmandu
Goldhunga,1403.225,10.0,20000000,6,3.0,West,2.5,Kathmandu
Nagarjun,1240.65625,10.0,22000000,7,4.0,South,2.5,Kathmandu
Bhaktapur,1369.0,10.0,17000000,4,2.0,East,2.0,Bhaktapur
Thankot,1882.37,10.0,30000000,8,3.0,South East,2.5,Kathmandu
Syuchatar,1882.37,10.0,22500000,5,3.0,East,2.5,Kathmandu
Sitapaila ramkot,1347.6,10.0,17500000,3,3.0,South West,2.5,Kathmandu
Satdobato,2053.5,10.0,25000000,5,3.0,North,2.5,Lalitpur
Imadol,1026.75,10.0,17000000,5,4.0,east,2.5,Lalitpur
Imadol,1090.92,10.0,19700000,4,4.0,South East,2.5,Lalitpur
Near new diamond academy,1369.0,10.0,17000000,8,4.0,East,2.5,Kathmandu
Jadibuti,1411.78,10.0,18500000,6,4.0,West,2.5,Kathmandu
"Jyotinagar, kapan",855.62,10.0,14500000,4,3.0,East,2.5,Kathmandu
Khumaltar,2310.18,10.0,17500000,8,5.0,East,3.5,Lalitpur
Chunikhel,898.4,10.0,19500000,4,3.0,South west,2.5,Kathmandu
Sanepa,2738.0,10.0,68000000,6,6.0,South East,2.5,Lalitpur
Danchhi,1026.75,10.0,16000000,4,3.0,South East,2.5,Kathmandu
Buddhanagar,1026.75,10.0,29900000,5,3.0,South,2.5,Kathmandu
Shankhamul,1026.75,10.0,31500000,4,3.0,South East,3.0,Kathmandu
Boudha,727.28,10.0,17000000,7,4.0,South East,3.5,Kathmandu
Gothatar,1369.0,10.0,17000000,6,3.0,North,2.5,Kathmandu
Kapan,1369.0,10.0,26500000,5,3.0,East,2.5,Kathmandu
Gongabu,1437.45,10.0,22500000,6,3.0,East,3.5,Kathmandu
Budhanilkantha,1112.3125,10.0,16000000,4,3.0,East,3.0,Kathmandu
Goldhunga,1500.0,10.0,29500000,8,4.0,West,3.5,Kathmandu
Buddhanagar,855.625,10.0,24500000,3,3.0,South,2.5,Kathmandu
Changathali,1369.0,10.0,17000000,7,3.0,East,2.5,Lalitpur
Kapan,1197.875,10.0,23500000,5,3.0,South east,2.5,Kathmandu
itakhel,1711.25,10.0,22000000,6,3.0,East,2.5,Kathmandu
Sitapaila,1283.4375,10.0,18500000,3,3.0,South,2.0,Kathmandu
Mulpani,1497.0,10.0,12500000,4,3.0,South East,2.5,Kathmandu
Ichangu Narayan,1129.425,10.0,31000000,4,3.0,North,2.5,Kathmandu
Jorpati,752.95,10.0,14300000,3,3.0,South,2.5,Kathmandu
Dhumbarahi,1369.0,10.0,38000000,3,3.0,East,2.5,Kathmandu
Pasikot,1745.475,10.0,32500000,5,2.0,East,3.5,Kathmandu
Ramkot,1129.425,10.0,17500000,3,3.0,South East,2.5,Kathmandu
Kageshwori Manohara,1026.75,10.0,15000000,6,3.0,North,2.5,Kathmandu
Lolang,1026.75,10.0,25500000,8,3.0,West,2.5,Kathmandu
Jorpati,855.625,10.0,15200000,4,3.0,East,2.5,Kathmandu
Kalanki,1403.225,10.0,29000000,5,4.0,South,2.5,Kathmandu
Kumarigal,1095.2,10.5,32000000,8,4.0,West,3.0,Kathmandu
Machhapokhari,2738.0,10.5,55000000,6,4.0,South East,3.5,Kathmandu
Manamaiju,1060.975,11.0,28000000,8,6.0,East,3.5,Kathmandu
Lubhu,1112.3125,11.0,11000000,3,4.0,South East,3.0,Lalitpur
Baniyatar,1711.25,11.0,25000000,7,5.0,South,3.0,Kathmandu
Gahana Pokhari,2156.175,11.0,70000000,6,5.0,South,2.0,Kathmandu
Kusunti,1437.45,11.0,40000000,4,4.0,West,2.5,Lalitpur
Godawari,1060.975,11.0,17500000,6,3.0,West,2.0,Lalitpur
Mandikhatar,1779.7,11.0,18000000,4,4.0,East,3.5,Kathmandu
Bhelpa,1095.2,11.0,26500000,5,3.0,South West,2.5,Lalitpur
Gurujudhara,1454.5625,11.0,17000000,6,3.0,South East,2.0,Kathmandu
Tinkune,3422.5,11.0,50000000,5,3.0,North,2.0,Kathmandu
Kapan,1197.875,11.0,27500000,5,2.0,East,2.5,Kathmandu
Pepsicola,1197.875,11.0,23000000,5,5.0,North East,3.0,Kathmandu
Nepaltar,1369.0,11.0,22500000,6,7.0,East,3.5,Kathmandu
Ekatabasti,752.95,11.0,16000000,4,5.0,South,2.5,Kathmandu
Narayantar,1026.75,11.0,24000000,6,3.0,South,3.0,Kathmandu
Imadol,1095.2,11.0,26500000,4,4.0,North West,2.5,Lalitpur
Sitapaila,1369.0,11.0,30000000,6,4.0,North West,2.0,Kathmandu
Lambagar,1369.0,11.0,26000000,6,3.0,South,2.5,Kathmandu
Tokha,1026.75,11.0,24000000,5,3.0,South,3.0,Kathmandu
Nepaltar,1026.75,11.0,21600000,8,4.0,North,3.5,Kathmandu
Anamnagar,1129.425,11.0,42500000,6,5.0,South West,3.5,Kathmandu
Dhumbarahi,2738.0,11.5,67500000,9,6.0,South East,2.0,Kathmandu
Sanagaun,1026.75,11.5,20400000,4,3.0,South West,2.5,Lalitpur
Sitapaila,2156.175,11.5,38000000,7,7.0,East,3.5,Kathmandu
Bansbari,1437.45,12.0,51000000,5,5.0,South,2.5,Kathmandu
Kapan,1369.0,12.0,31000000,8,3.0,North,3.5,Kathmandu
Kapan,1625.6875,12.0,31000000,5,4.0,West,2.5,Kathmandu
Besi Gaun,1369.0,12.0,30000000,6,3.0,East,3.0,Kathmandu
Dhapasi,3422.5,12.0,61000000,4,3.0,East,3.0,Kathmandu
Kapan,684.5,12.0,12500000,4,3.0,South West,2.5,Kathmandu
Dhapasi,1060.975,12.0,21000000,5,3.0,East,2.5,Kathmandu
Imadol,1026.75,12.0,16000000,5,3.0,East,3.0,Lalitpur
Bhangal,1112.3125,12.0,19900000,6,5.0,South West,3.0,Kathmandu
Baluwakhani,1026.75,12.0,21500000,4,3.0,South East,3.0,Kathmandu
Tikathali,1112.3125,12.0,22500000,6,3.0,North,2.5,Lalitpur
Tenzing Chowk,2806.45,12.0,65500000,6,4.0,South East,2.5,Kathmandu
Kirtipur,1283.4375,12.0,17000000,6,3.0,South East,3.0,Kathmandu
Manamaiju,1369.0,12.0,38000000,9,4.0,South,3.5,Kathmandu
Sanepa,1540.125,12.0,32500000,6,4.0,East,3.0,Lalitpur
Mahalaxmi Nagarpalika,1283.4375,12.0,21500000,2,4.0,North,3.0,Lalitpur
Sukedhara,1369.0,12.0,32500000,6,4.0,South East,2.5,Kathmandu
Imadol,1112.3125,12.0,19500000,6,3.0,South,2.5,Lalitpur
Jorpati,1796.8125,12.0,28500000,5,2.0,South,2.0,Kathmandu
Bhaisepati,1403.225,12.0,38000000,4,1.0,North East,2.5,Lalitpur
Gongabu,128.8,12.0,35000000,4,3.0,South,3.0,Kathmandu
Makalbari,1129.425,12.0,27500000,8,3.0,South East,3.0,Kathmandu
Dhapasi,3080.25,12.0,47000000,6,2.0,East,2.5,Kathmandu
Tokha,2930.515625,12.0,19000000,4,3.0,East,2.0,Kathmandu
Thulo Bharyang,1454.5625,12.0,22700000,5,2.0,West,3.0,Kathmandu
Mandikatar,2139.0625,12.0,22500000,4,3.0,East,3.0,Kathmandu
Baluwatar,2053.5,12.0,51500000,6,3.0,North East,3.0,Kathmandu
Chabahil,1369.0,12.0,37000000,5,4.0,South West,3.0,Kathmandu
Imadol,1219.265625,12.0,28500000,6,5.0,East,3.0,Lalitpur
Banasthali,1369.0,12.0,31000000,4,4.0,South,2.5,Kathmandu
Tikathali,600.0,12.0,22000000,6,4.0,South East,2.5,Lalitpur
Imadol,1026.75,12.0,23000000,4,4.0,East,2.5,Lalitpur
Sitapaila,1437.45,12.0,30000000,6,3.0,North,2.5,Kathmandu
Budhanilkantha,3080.25,12.0,57500000,4,3.0,South,2.5,Kathmandu
Jorpati,1197.875,12.0,21000000,5,3.0,South West,3.0,Kathmandu
Sunderbasti,1796.8125,12.0,26500000,6,5.0,East,3.0,Kathmandu
Bishal Nagar,2738.0,12.0,48000000,6,3.0,North West,3.0,Kathmandu
Jharuwarashi,1647.078125,12.0,13000000,3,2.0,East,3.0,Lalitpur
Thali,752.95,12.0,16000000,5,3.0,East,2.5,Kathmandu
"Besigaun, Jorpati",1540.125,12.0,28500000,5,2.0,South,2.5,Kathmandu
Gongabu,1069.53,12.0,23750000,6,5.0,East,3.5,Kathmandu
Kalanki,1347.609375,12.0,45000000,6,4.0,North East,3.0,Kathmandu
Park Village Resort,3600.0,12.0,76000000,2,1.0,West,3.0,Kathmandu
Banasthali,3422.5,12.0,70000000,5,5.0,South,2.5,Kathmandu
Man B Marga,1197.875,12.0,23000000,3,4.0,East,2.5,Kathmandu
Imadol,1690.715,12.0,31500000,6,4.0,North,2.5,Lalitpur
Narephate,1454.5625,12.0,50000000,5,4.0,South,3.0,Kathmandu
Dhalmal Pul,1200.0,12.0,5000000,7,3.0,South west,2.5,Kathmandu
Pasikot,1411.78,12.0,31000000,5,2.0,South east,2.5,Kathmandu
Makalbari,1069.53125,12.0,18000000,5,3.0,East,2.5,Kathmandu
Dahachowk,1069.53,12.0,21500000,7,4.0,East,2.5,Kathmandu
Dhumbarahi,2395.75,12.0,45000000,8,5.0,East,3.5,Kathmandu
Phutung,1497.34,12.0,25000000,5,4.0,East,2.5,Kathmandu
Chokhel,1711.25,12.0,33500000,8,4.0,East,3.5,Lalitpur
Chardobato,1540.125,12.0,31000000,5,4.0,West,2.5,Bhaktapur
Jharuwarashi,1625.68,12.0,13000000,3,2.0,West,2.0,Lalitpur
Mandikataar,1048.14,12.0,22000000,5,5.0,East,2.5,Kathmandu
Chapali,1540.125,12.0,27000000,5,4.0,west,2.5,Kathmandu
Nayabasti,1903.76,12.0,35500000,7,5.0,East,3.5,Kathmandu
Chokhel Sunakothi,1711.25,12.0,33500000,8,4.0,East,3.5,Lalitpur
Dhumbarahi,2738.0,12.0,60000000,8,5.0,East,3.0,Kathmandu
Tokha,1112.3125,12.0,17800000,5,6.0,South,3.0,Kathmandu
Tikathali,1069.53125,12.0,23000000,6,3.0,South,3.0,Lalitpur
Budhanilkantha,1095.2,12.0,29000000,6,5.0,North,2.5,Kathmandu
Dhapasi,2994.6875,12.0,40000000,8,4.0,South,3.0,Kathmandu
Kapan,1129.425,12.0,24000000,6,5.0,West,2.5,Kathmandu
Aarubari,1369.0,12.0,35000000,5,3.0,East,2.5,Kathmandu
Tikathali,1197.875,12.0,23000000,6,4.0,South east,2.5,Lalitpur
Tikathali,1197.875,12.0,22500000,6,3.0,East,3.0,Lalitpur
Basundhara,941.1875,12.0,19500000,3,3.0,South East,3.0,Kathmandu
Balagau,1711.25,12.0,17500000,4,2.0,East,2.0,Kathmandu
Deuwa Chowk,2738.0,12.0,55000000,8,4.0,East,2.5,Kathmandu
Thapathali,2121.95,12.0,44500000,6,3.0,South,3.0,Kathmandu
Bauthali,1403.225,12.0,25000000,6,5.0,West,2.5,Kathmandu
Imadol,1112.31,12.0,25000000,2,3.0,East,2.5,Lalitpur
Sitapaila,1369.0,12.0,35500000,6,4.0,East,3.0,Kathmandu
Budhanilkantha,1060.975,12.0,23500000,6,3.0,East,2.5,Kathmandu
Makalbari,752.95,12.0,17000000,6,5.0,North East,3.5,Kathmandu
Bansbari,1471.675,12.0,52000000,4,5.0,South,2.5,Kathmandu
Imadol,1411.78125,12.0,20000000,7,3.0,West,3.5,Lalitpur
Kapan,1540.125,12.0,25000000,7,5.0,North east,2.5,Kathmandu
Baluwatar,1796.8125,12.0,55000000,4,5.0,South East,3.0,Kathmandu
Thecho,1813.925,12.0,27500000,7,5.0,East,3.5,Lalitpur
Khumaltar,1048.14,12.0,21500000,3,3.0,South,2.5,Lalitpur
Basundhara,2139.0625,12.0,35000000,2,1.0,East,2.0,Kathmandu
Dhapasi,2395.75,12.0,39000000,7,4.0,East,2.5,Kathmandu
Kapan,1197.875,12.0,14000000,2,2.0,East,3.0,Kathmandu
Sanagaun,1069.53,12.0,19900000,8,4.0,East,2.5,Lalitpur
Gongabu,1369.0,12.0,35000000,5,3.0,South,3.5,Kathmandu
Imadol,1129.425,12.0,21500000,6,4.0,North,2.5,Lalitpur
Chandol,1711.25,12.0,36000000,7,3.0,North,2.5,Kathmandu
Bhaisepati,1026.75,12.0,21000000,5,5.0,South East,2.5,Lalitpur
Bafal,752.95,12.0,23500000,6,2.0,North,2.5,Kathmandu
Bhangal,1369.0,12.0,27000000,5,4.0,South east,2.5,Kathmandu
Tokha,1779.7,12.0,45000000,5,3.0,North East,2.5,Kathmandu
Bhangal,1095.2,12.0,30000000,6,4.0,North,2.5,Kathmandu
Bhaisepati,1026.75,12.0,30000000,5,4.0,West,2.0,Lalitpur
Sipadol,1403.225,12.0,23000000,5,3.0,South West,2.5,Bhaktapur
Manamaiju,1437.45,12.0,25000000,6,3.0,South West,2.5,Kathmandu
Imadol,1026.75,12.0,16000000,5,3.0,East,2.5,Lalitpur
Imadol,1095.2,12.0,20000000,6,2.0,East,3.0,Lalitpur
Hattigauda,2139.05,12.0,37500000,5,2.0,East,2.0,Kathmandu
Bhangal,1796.8125,12.0,33500000,4,4.0,South,3.0,Kathmandu
Tarkeshwor,1561.515625,12.0,25000000,5,4.0,East,3.0,Kathmandu
Hattigauda,1369.0,12.0,28000000,5,3.0,East,2.5,Kathmandu
Hattiban,1882.375,12.0,29000000,4,4.0,North,2.5,Lalitpur
Banasthali,2806.45,12.0,42000000,8,4.0,South,2.5,Kathmandu
Chandol,1369.0,12.0,35000000,5,4.0,North,2.0,Kathmandu
Harisiddhi,2738.0,12.0,40000000,8,5.0,East,2.5,Lalitpur
Hanumanghat,1863.0,12.0,40000000,1,4.0,South,3.5,Kathmandu
Chappal Karkhana,1839.59375,12.0,40000000,7,4.0,North,3.5,Kathmandu
Gaurighat,1026.75,12.0,25000000,8,3.0,East,3.0,Kathmandu
Gongabu,1411.78,12.0,35000000,8,5.0,South,3.5,Kathmandu
Hattiban,1369.0,12.0,21500000,6,4.0,East,2.5,Lalitpur
Sukedhara,2053.5,12.0,40000000,5,3.0,South East,2.5,Kathmandu
Budhanilkantha,1454.5625,12.0,21800000,5,6.0,North East,3.0,Kathmandu
Jorpati,752.95,12.0,14300000,3,3.0,South,2.5,Kathmandu
Budhanilkantha,1540.125,12.0,25000000,7,5.0,North West,2.0,Kathmandu
Jorpati,2700.0,12.0,21500000,4,3.0,East,3.0,Kathmandu
Sitapaila,2806.45,12.0,49500000,8,7.0,South East,3.5,Kathmandu
Sukedhara,2010.71,12.0,35000000,9,4.0,north east east,3.5,Kathmandu
Sukedhara,1369.0,12.0,49500000,1,3.0,North,2.0,Kathmandu
Sukedhara,1711.25,12.0,42500000,5,3.0,East,2.0,Kathmandu
Sukedhara,2395.75,12.0,70000000,4,3.0,East,2.5,Kathmandu
Sukhedhara,2395.75,12.0,70000000,4,3.0,East,2.5,Kathmandu
Swayambhu,1369.0,12.0,34000000,6,3.0,South,3.0,Kathmandu
Narayantar,1026.75,12.0,19000000,6,3.0,South East,3.0,Kathmandu
Sukedhara,2395.75,12.0,45000000,5,3.0,East,2.5,Kathmandu
Aakasedhara,1711.25,12.0,31500000,6,5.0,South West,2.5,Kathmandu
Tokha,1112.3125,12.0,25000000,4,3.0,East,2.0,Kathmandu
Swayambhu,1860.984375,12.0,37000000,8,5.0,South,3.0,Kathmandu
Thulo bharyang,855.62,12.0,19900000,5,3.0,South West,2.5,Kathmandu
Sattalle,1796.81,12.0,25000000,4,2.0,North,2.5,Kathmandu
Dhapakhel height,898.4,12.0,13500000,4,3.0,South,2.5,Lalitpur
